Index 1,Index 2
1,5
1,7
1,15
1,24
1,43
1,54
1,95
1,98
1,99
1,100
1,101
1,109
2,63
2,64
2,65
2,66
3,4
3,6
3,18
3,19
3,20
3,31
3,37
3,103
4,6
4,10
4,12
4,13
4,19
4,37
4,42
4,103
5,6
5,7
5,8
5,11
5,33
5,35
5,106
6,7
6,10
6,12
6,13
6,37
6,103
7,9
7,15
7,24
7,34
7,36
7,105
7,106
8,11
8,21
8,33
8,35
9,15
9,22
9,24
9,28
9,34
9,36
9,105
9,107
10,13
10,14
10,17
10,18
10,30
10,32
10,33
10,36
10,37
10,40
10,41
10,95
10,101
10,103
11,21
11,33
11,35
12,23
12,25
12,37
12,42
12,49
12,53
13,14
13,17
13,18
13,25
13,30
13,33
13,36
13,37
13,64
13,103
14,17
14,19
14,31
14,32
14,103
15,24
15,28
15,34
15,36
15,105
15,107
16,23
16,25
16,36
16,50
17,18
17,19
17,20
17,30
17,31
17,32
17,103
18,19
18,20
18,32
18,103
19,20
19,30
19,31
19,32
19,75
19,103
20,31
20,32
20,103
22,23
22,25
22,36
23,36
23,42
24,34
24,36
24,100
24,105
25,33
25,36
25,42
25,51
25,53
25,72
26,43
26,45
26,48
26,51
26,57
26,98
26,100
27,28
27,38
27,39
27,41
27,46
27,49
27,53
27,107
28,33
28,34
28,35
28,36
28,37
28,38
28,39
28,40
28,41
28,44
28,46
28,49
28,51
28,95
28,101
28,105
28,107
29,43
29,51
29,95
29,96
29,97
29,98
29,100
29,101
29,108
29,109
29,110
30,31
30,32
30,37
30,103
31,32
31,55
31,103
32,55
32,103
33,35
33,36
33,107
34,34
34,35
34,36
34,37
34,95
34,99
34,105
34,107
35,107
36,53
36,95
36,105
36,107
37,103
38,39
38,46
38,107
39,41
39,46
39,107
40,41
40,44
40,49
40,51
40,52
40,95
40,101
40,104
40,108
41,44
41,49
41,51
41,52
41,95
41,101
41,104
41,108
42,53
43,44
43,51
43,95
43,96
43,98
43,100
43,101
43,108
43,109
43,110
44,49
44,51
44,52
44,95
44,101
44,104
44,108
45,47
45,48
45,50
45,51
45,53
46,47
46,48
46,53
46,107
47,48
47,50
47,51
47,53
48,50
48,51
49,51
49,52
49,101
49,108
50,51
51,52
51,53
51,95
51,96
51,97
51,98
51,100
51,101
51,104
51,108
52,108
54,61
54,62
55,62
56,59
56,60
56,61
56,62
56,102
57,62
58,59
58,62
58,102
59,62
60,61
60,62
60,66
60,102
61,62
61,102
62,102
63,64
63,65
63,66
64,65
64,66
65,66
67,68
67,70
67,94
68,69
68,70
68,72
68,94
69,75
69,80
69,81
69,82
69,83
69,90
69,92
70,71
70,94
71,72
71,73
71,83
71,85
71,86
71,87
71,94
72,94
73,78
73,89
73,90
74,79
75,75
75,76
75,80
75,85
75,86
75,87
75,88
75,91
75,92
75,93
76,77
76,80
76,89
76,91
76,93
77,78
77,89
77,91
77,93
78,90
80,91
80,92
80,93
81,82
81,83
81,94
82,83
84,85
84,86
84,87
84,88
85,86
85,87
85,88
86,88
86,89
86,90
86,92
87,88
95,96
95,97
95,98
95,100
95,101
95,108
95,109
95,110
96,97
96,98
96,100
96,101
96,110
97,98
97,100
97,101
97,108
97,110
98,100
98,101
98,110
100,101
100,109
100,110
101,108
101,109
101,110
104,108
105,107
